,text,label
51174,"I'm so glad that I met you girls you are really the best girls I have ever met. You all are so…
",15
49399,"The best girlfriends I’ve ever had @ Born and Raised
",15
44359,"Doing the werk at the Public Health Boot Camp representing #CALOR #PHBC2017 #publicheath #lgbt…
",15
42206,"I'm convinced they're the best/craziest group of friends #MySnapFriendsSaySo @ La Canada…
",15
31767,"50 pounds lighter, 50 times happier. @ Earlville, Iowa
",15
58905,"@ Concord, North Carolina
",15
63844,"Pre-Christmas celebration with the #bestie and the #cousin theaspiringathlete @user
",15
10568,"Have a blessed Sunday,lovelies @ California
",15
24702,"So grateful for the time spend together @ McMenamins Old St. Francis School
",15
36406,"Me and my cousin niece CheChe @ Willow Lakes Estates, Wichita, Kansas
",15
41204,"Welcome to the fam, Maverick #aichelmannpartyof3? @ Petit Jean…
",15
28975,"My work family #Baltimore #bchd #NYE @ Martin's West
",15
15510,"Love my little bear @ Memphis Zoo
",15
18260,"#MondayMotavation @ Tustin, California
",15
40295,"Not the clearest photo, but have the best team @ Dreamforce 2017
",15
47569,"@ Stubb's Austin
",15
43320,"happy 18th birthday to my favorite diva and scorpio ms @user you are going hella places…
",15
23393,"A bit of a reunion. Late lunch and music talk with the lovely @user @ SoHo, Manhattan
",15
8371,"The most magical place on earth #disneyworld #magickingdom @ Disney's Magic Kingdom
",15
9683,"Laughter n Memories!! #priceless#empireballroom#Jet#ch3 #thecrew @user
",15
16869,"We've been missin these two a little extra lately @ The University…
",15
59041,"Good morning @ Smiley's Agape Day Care
",15
19372,"Just a little splash of pink @ Moxi Hair Salon
",15
49589,"These two. LGLM at South OKC has been blast with them. @ South OKC
",15
10446,"Thankful for my BFF @ Emporia State University
",15
41243,"Last night was {Unforgettable} @ KFC Yum! Center
",15
53229,"Great way to end my summer #mansionpoolparty #sittinginclassdepressed #stillreminiscing…
",15
22770,"big brother and nephews! @ York County, Pennsylvania
",15
7012,"Come take a tour at Great Escape Mustang Sanctuary &amp; Training Center this fall! @ Deer Trail,…
",15
64037,"A beautiful evening in Austin #Austin #summerinnovember @ Austin Motel
",15
37894,"darker and ready for autumn! thanks @user @ Scarlett O'Hair
",15
29210,"you got me fallin' for you... #hooplah @ InMyOwnZone
",15
10838,"#tbt Love of my life @ Brooklyn, New York
",15
21542,"Dandelion has a big crush on @user and so should you! We just upped our local wine…
",15
10533,"Allison Rose is 2 years old @ Erwin, North Carolina
",15
47473,"Just wrapped my last call for the week It’s crazy to think that I am doing exactly what I felt…
",15
12685,"44th Annual Ebony Ball @ Case Western Reserve University
",15
1461,"Just a couple of dime store cowgirls for the night @ Cotillion Ballroom
",15
56001,"@ Detroit Institute of Arts
",15
29915,"Mother and Maids and Flower Girl...oh my! #weddingmakeup #bridalparty #dreamwedding…
",15
26237,"Enjoying our long weekend. @ Connors Steak &amp; Seafood
",15
62700,"So happy to have a bestfriend who is down for the most random day trips @ Six Flags Great…
",15
14054,"It's my favorite time of year honestly #celticclassic @ Historic Downtown Bethlehem
",15
8081,"Throwback to summertime shooting this gorgeous mama-to-be!.MATERNITY MODELS WANTED I'm…
",15
69170,"Picture sucks but I love her tashawest89 #Renegades @ Renegades WPB
",15
68654,"@user @user soon girl, soon
",15
55588,"oh come to the altar, the father’s arms are open wide @ Zion…
",15
6082,"Such a great time @ Monterey, California
",15
31875,"Can't get along without you now @ Florida Atlantic University
",15
10596,"Grandma say I'm kosher.... Mama say I'm cultured #tbt @ Alabama State University
",15
16722,"What girl doesn't like being surprised for the weekend by a wonderful boy? @ Henry Doorly Zoo…
",15
29064,"Happy Birthday Lolly Anne! 4 years old, damn they grow up fast @ SPCA of Wake County
",15
60802,"Happy Sunday #unreal #toronto #style #nathanphillipsquare #torontolife #modern #mua #blessed…
",15
26956,"finally met my grand big #bestfam #dabdabdab @ Jefferson's…
",15
45133,"Crazy about you. @ The Ridges
",15
2848,"It's my fake bday!! Yay #Repost allthingsgeorge with repostapp.・・・Happy birthday to the real…
",15
11457,"besties bday celebration @ Babalu Tacos &amp; Tapas - Memphis
",15
50471,"already having withdrawals :( thank you @user for a great class! and thank you to my…
",15
54406,"My whole world #MyBoys @ Mayhill, New Mexico
",15
54686,"My love #weddingseason2017 #gonekrogseth #handsomedate @ Coeur…
",15
62841,"So proud of my baby @ Pinnacle Farms
",15
10257,"They tried.. @ Six Flags St. Louis
",15
12265,"new month, new nails happy february peeps @ BYU-Idaho
",15
63781,"I love y'all @ Hickory, North Carolina
",15
16015,"Missing this dolly. Marlboro, New Jersey - Newborn, Baby &amp; Child…
",15
5969,"Love my bff I'm glad we have grown closer over this break. I'm super excited to room with you…
",15
11167,"It was a beautiful night for a private wine tasting. Loved seeing it end with snow. #blessed…
",15
57068,"Love this pink slip top with tie #ootd #fashion #coordinate #streetstlye #whatiwore #soho…
",15
68822,"Senior night with my little Bailey !! So proud of who you are as a person and player. Can't…
",15
54768,"mum crush monday @ Renaissance Pleasure Faire
",15
29741,"@user thanks!!!!!!
",15
59497,"I read some of this great book on my flight @user
",15
61438,"can't wAit to add Φur littles to the pictures @ Texas Tech Alpha Phi
",15
38368,"Nicole came back for some loving #bethany @ Connecticut
",15
27800,"Missing these girls, already. Love all of you #mondayblues #jadeturns30 #homesweethome…
",15
5552,"My favorite blonde! @ Last Call
",15
53298,"Staring into my bright future @ Presque Isle State Park
",15
5466,"Happy birthday lover boy @ Centennial Lakes Park
",15
5296,"Home for the next 2 days #dtla #staycation @ Millennium Biltmore Hotel Los Angeles
",15
21441,"I love this @user highlighting palette so much! The shades are right up my ally what…
",15
62291,"Love my readers #authorsofinstagram #writersofinstagram #writersnetwork #indy #books #love…
",15
16781,"These are the moments I count most precious @ Zoo Miami
",15
39789,"Berry oysters @ MistralKitchen
",15
23064,"Tonight's event at The Harem @ Shop HaremCo
",15
40192,"This is the happiest I've been in a LONG time #loveyou #boyfriend #couple #deepcreeklake…
",15
63191,"girls who lax together, party together. @ City Club of Wilmington
",15
68684,"This girls @ Times Square, New York City
",15
19455,"Prettiest 3 month old in the game. I love my little booger @ Easter Lake Park
",15
17687,"happy sweetest day, my sweet sweet boy @ Hocking Hills State Park
",15
55841,"Newest addition to the Medel Family @ Portneuf Medical Center
",15
39479,"I got challenged by cathyj18 to post for 7 days nature's beauty …
",15
48790,"wouldn't want to travel 1,260 miles with anyone but you guys …
",15
41648,"Thank you @user for speaking at the #s#seniorbreakfast2k16 #mentorshipacademy We U!! @user
",15
40982,"welcome home olivia @ Woodbury, Minnesota
",15
61389,"Missin' my partner in crime #mcm #mancrush @ Millville NJ…
",15
24736,"Dinner Time!!! #friendshipgoals #qualitytime #earlskitchenandbar…
",15
37397,"at the tastiest beard in town with this cutie @ Beard Papa's New York
",15
69538,"A great day in Alexandria @ King St. Old Town Alexandria
",15
53451,"thankful for you &amp; the party you threw me @ OWEN FARM
",15
33517,"hbd to the prettiest girl with the biggest heart and the widest chasm @user
",15
8945,"thanks for keeping me afloat @ American River
",15
15324,"Genoten van iedere seconde @ Mammoth Lakes, California
",15
16270,"Ugh wow I love them @ Trap house
",15
34392,"We got to twirl all together for one last time today. (I stole a lot of these pictures from…
",15
69445,"""Made lots of friends at BearKat Camp Thanks for giving me the nickname, ""Track…
",15
49236,"Oh, well thanks for making an appearance little one @ Capital Mall
",15
53398,"I actually got a good jumping picture thanks to my amazing roommate @ Caprock Canyon State…
",15
31428,"He's hotter than the temperature of the cafeteria last night #coho…
",15
50920,"Love my city @ Downtown Raleigh
",15
20877,"You do what you want when you poppin @ Wynwood Walls
",15
30248,"Bestie appreciation post because idk what I would do without her @ Cinncinati, Ohio
",15
60797,"As long as your happy @ Island Heights Cultural And Heritage Association
",15
32216,"Adventures with you are my favorite #mcm @ Vanderbilt Mansion National Historic Site
",15
24525,"I said yes to the dress #HappilyEverAnderson #davidsbridal @user
",15
10057,"75 lbs 5 months #handsomeandiknowit #albinopride #ihuntducksandshit…
",15
48123,"Home Sweet Home #5moredays @ University of New Haven
",15
49318,"Young Cattlemen's Conference with my other half #YCC17 @ Columbus State House
",15
14909,"Well, these little chunky cheeks and little lips have stolen my heart @ LNK
",15
61664,"Wouldn't of wanted to walk down that field with anybody else @ Tom…
",15
32443,"Feeling feminine for dinner last night in this dress from @user Exact dress details are linked…
",15
23214,"Giving all my love to you
",15
27266,"Congratulations Eric &amp; Renalee celebrating their 1 year wedding anniversary dinner we had the…
",15
57142,"""&amp; we will soar on wings like eagles"" Isaiah 40:31 #whatliftsyou…
",15
21028,"Missed my bff @ Ashford, Winston-Salem, North Carolina
",15
8748,"Awesome dinner date with the husband (and Kono) I love Taiwanese tonkotsu Ramen so much,…
",15
18199,"Another year, another breast cancer race completed with pops #goads @ World's Fair Park -…
",15
53377,"Never going to recover from the loss of sleep last night but it was so worth it @ Utah State…
",15
11129,"Sis day is everydayyyy #winedrunksthebestdrunk #srryamelia…
",15
31401,"My love This guy has my heart always and forever! #zayd #cyrus #Persian #Costarican #Jordanian…
",15
19775,"Weekend feels @ Dallas Arboretum and Botanical Garden
",15
67220,"#WomanCrushWednesday this woman is my heart &amp; soul &amp; I am so thankful for every moment we have…
",15
67521,"#kajaifyoucan #kajafest see you soon @ Filmore Miami Beach at…
",15
68385,"Well....that was fun! Moving, breathing, feeling, observing &amp; massaging @user w/ yogatuneup…
",15
62084,"Red lagoon, green lake, blue sky - thanks for making us believe in MAGIC Mexico @ Yucatan,…
",15
31167,"Some days you just can't put into words #centralpark @ New York, Central Park
",15
64705,"Boy Cousins Day 2016 #imbobbysmom #imninosmom #ThorLokiMommy…
",15
33249,"Sock boots styled for work. I'm all about making one fashion piece work in many different ways …
",15
45281,"Better together @ Delta Zeta at the University of West Georgia
",15
21257,"SHHH SILK X BHH launch party - pink palace palm sleepover @ The Beverly Hills Hotel
",15
51279,"Be grateful for another day. Not everybody made it, so don't take it for granted. @ Destin,…
",15
30952,"Church fam @ The Harbor
",15
15843,"Mother like daughter love you mum #family #vacay #nyc #dna #love #night #out #girls #takeover…
",15
57879,"Drop everything &amp; run @user @user @ Venice, California
",15
16315,"LC #glamerous @ Fort Wayne, Indiana
",15
42030,"~islands//sara bareilles~choreo by lollielaura55 @ Gotta Dance Dance Studio
",15
41001,"Really good day @ Brookhaven College
",15
18611,"Homecoming game with the roomies are we actually seniors?…
",15
63776,"Light of my life #daughter #liveanextraordinarylife #indiahicksstyle #ihxfinlayco…
",15
26810,"Time sure does fly when you’re having fun! HAPPY ONE YEAR 16-25 can’t believe it’s already…
",15
66357,"SF you are so beautiful! #vscocam #vscofilm #vsco #weddingphotography #weddingphotographer…
",15
44213,"Beautiful, at a big warm day to go on a harbor tour. @ Charleston Harbor Tours &amp; Events
",15
25898,"Waffle House Nights @ West Columbia, South Carolina
",15
32519,"""so this is love, so this is what makes life divine"" ~Cinderella @user
",15
53021,"Always and Forever @ Park City, Utah
",15
53248,"bless up for my fav woman on the earth being in town @ Butler…
",15
3866,"NYE with palendr0me, dis cheese plate and some #angrycukes from @user @ Newnan, Georgia
",15
33189,"Thank you Kevin for introducing me to The Pub, and thank you Pub for introducing me to Kevin @user
",15
14458,"Missin' the fam can't wait to see y'all in just over a week!! @user
",15
34876,"Happy 5 months of marriage with this amazing guy! I love LOVE! also check out my friend…
",15
69498,"Beyond thankful for my two sisters #nationalsiblingday @ East…
",15
48606,"Someone is all clean and cute now @ Weaver House
",15
39523,"The two best gifts I could ask for @ Water Tower Place
",15
59688,"“#family isn’t defined only by last name or by blood; it’s defined by #commitment and #love .…
",15
55925,"There is only one happiness in life - to love and to be loved @user
",15
36973,"Different prom, same boy @ Dolce Hayes Mansion
",15
64686,"Júlia and her daughter @ The Original Pizza Hut
",15
50899,"One of my favorite people in the whole world #muchlove #zrl @ Suburban Collection Showplace
",15
69777,"Wouldn’t want to start the new year with anyone else @ Affordable Maintenance &amp; Roof Repairs
",15
65523,"Sister time!! #sisters @ Garden of the Gods National Landmark
",15
39397,"that these folks work from cacao bean to chocolate bar, processing their chocolate from single…
",15
13234,"home is wherever i'm with these goofs @ Theta Phi Alpha - Zeta Chapter
",15
58315,"Making memories @ Lakeland, Florida
",15
37543,"Ok last one I promise. I realized I never posted any of us in it! #nanjer #club33 @ Club 33,…
",15
40723,"31,536,000 seconds together and not a single second was wasted …
",15
56203,"It's true @ Target Chicago Wilson Yard
",15
62601,"Tbt to Last Years NFR #kassidydennison #mgmgrand @ MGM Grand Las Vegas
",15
25114,"just a happy girl having a gay ol time at the best drag tour ever it was absolutely worth every…
",15
38555,"These girls had such a fun day at #snydersfarm. Can't wait to go back! @ Snyders Family Farm
",15
51775,"My lovelies #GirlBoss #ChangeTheRatio #WomenWhoRock @ Bar Lubitsch
",15
58877,"With the Osif's. (@ Joe's Crab Shack - @user in Garden Grove, CA w/ @user
",15
47753,"LAST CALL TO ALL MY NOVEMBER BABES! I’m on the search for 1 more lady to closely mentor and…
",15
69319,"making me proud since kindergarten!!! love you to the moon, sis @user
",15
53395,"I'm singing about Patrick Swayze :( // what a great end to competing in NATS I've worked so…
",15
54437,"Obsessions overload #2017RECAPDetails: @user Hello Flawless foundation ,…
",15
33111,"I can’t wait until you’re back @ Jacksonville, Florida
",15
62044,"Love spending my off day with these crazies @ Ninja Grill Sushi and…
",15
29451,"not only is this fine pair a perfect match, their kids are THE BEST @user joshmaready @ New…
",15
12937,"Taking a quick break from Blogmas to document my interaction with this little goose. Just look…
",15
12879,"The rainbow.... @ Wellfleet, Massachusetts
",15
67632,"My best friend is my whole entire world. @ Renaissance Resort at…
",15
64252,"birthday #cadcakes! happy 2nd birthday, kylie! #cupcakes @ Mantua, Ohio
",15
56209,"Here's to the best girls trip with the best friends anyone could ever ask for. @ The San…
",15
46127,"Great weekend away with great friends pjvacc chantalcartercmc…
",15
4967,"Our friendship takes us to new levels everyday! I wouldn't trade her for the world! @ Julian,…
",15
52412,"Looking feminine cunt w/ my girl! Happyfun was too cute @ Happyfun Hideaway
",15
18268,"HAPPY BIRTHDAY JEN! I hope you have the best 18th, Love you! @user
",15
11880,"oh lawd how I love my carm #cheesin #loveyoumom #whereintheworldiscarmensandiego #coda #philly…
",15
69094,"Second weekend with the fam this year another successful weekend of dancing with new friends…
",15
45971,"Spa time with Mom #spa #momlove #mommyandme #pedi #manipedi #randr #relax #fun @ Monmouth…
",15
22251,"Almost 33weeks in before BabyZ is here! ..#32weekspregnant #prego #babybump…
",15
30434,"can't wait to be reunited with my happy lil pup tomorrow @ Downtown Roanoke
",15
21033,"Nanny duties @ New Orleans, Louisiana
",15
17699,"This that act up season better not give us no reason ! #bigbrotherblarence @ Foxwoods Resort…
",15
15234,"I love our little family @ LP Field
",15
59654,"Have a Happy Sunday Y'all! @ The Turner Establishment
",15
8367,"This squirrel is coming home with me @ Big Trees State Park California
",15
1469,"Sitting in the freezing cold is worth it when I get to see Cody @ MCM
",15
46929,"Sunny day for a skate #girlsheartskateboys #bakersfield #kerncounty @ Bakersfield, California
",15
19555,"Best Day 1 at #SDCC by far. #darkmatter #razacrew @ San Diego Convention Center
",15
405,"When you find a cute hat •••#hello #baby #harper #cutie #sundayfunday #momlife…
",15
41736,"happy birthday to us! but first and most importantly to patrick, I love you forever @ Toronto,…
",15
55416,"Low quality picture, with my high quality person @ Central Michigan…
",15
26025,"The Windy City lived up to its name the other day. @ Chicago Symphony Orchestra
",15
16555,"Love my Em #workin @ Perfect Balance Gymnastics
",15
25291,"#tb with my loves #ThoseWavesWereRaging @ Raging Waves Waterpark
",15
42324,"Hanging with some of the best sisters that a girl could ask for. @ Huntington Beach, California
",15
37464,"Today was a good day! @ Hyatt Regency New Orleans
",15
66996,"Umbrella Share Program #rainydays #SouthCarolina #innatmiddletonplace #quaint #southerncharm…
",15
52041,"Forever adventuring through life with you @ Carlito Springs Trail
",15
39023,"Love these beauties!! @ Common Grounds
",15
22435,"the month of love @ CF Toronto Eaton Centre
",15
64353,"Gotta love the #aass crew We'll be comin at you live from townhouse…
",15
66072,"shoutout to these two for getting those degrees I am so proud of y’all and can’t believe we’ve…
",15
60076,"these people. my absolute favorites. @ Willowood Ranch
",15
48289,"Took everything in me not to steal this pup yesterday @ Saint Augustine Beach, Florida
",15
30882,"Got to see some family in Lawrence today @ Hoglund Ballpark
",15
18587,"Truly was a lovely day, so grateful @ Toronto, Ontario
",15
55236,"Mom !!! Happy birthday pretty lady You somehow mastered every…
",15
56094,"My heart's never smiled so hard, baby loving you is fun @ Lincoln, Nebraska
",15
42471,"Prom pt 2 with my best friend #jaredsprom @ Mountainbrook Church
",15
22637,"• L O V E •~ ~ @ Chicago, Illinois
",15
61783,"Caught them singing together. @ Metamora Fields
",15
18127,"president»past president»past past president #AD2WLP @ The Woman's…
",15
39311,"Favorite time of yr with my favorite person @ Hemmeter's Farm Market
",15
21783,"Thanks for still claiming me after last night #phisigzetachi…
",15
13403,"Disneyland at night with my love @user @ Disneyland
",15
20297,"The super, truly, really great Audi #R8 .....@audi #audi #audir8 #race #racecar…
",15
11430,"Love when @user drops in @ Oakland, California
",15
13678,"THE MAC TO MY CHEESE IS ALMOST TWENTY FUN I love you oodles of noodles &amp; cant imagine life…
",15
53962,"Love this girl forever and ever faith_hopeandlove @ Simi Valley, California
",15
25523,"Don't cry because it's over, smile because it happened. -Dr. Seuss …
",15
49627,"Can't wait to be roomies next year at the best house bc you rock @ Delta Tau Delta -…
",15
21959,"That smile on your face @ The Arbor Room - City Park
",15
18509,"Made it over to the East Coast today #LoveFL #beach #cloudsfordays @ Hutchinson Island Beach
",15
495,"#amores @ Walt Disney's Magic Kingdom
",15
32102,"Thank you for bringing us together in the first place @ Joey Garlics
",15
67254,"Love y'all to the moon and back @ St. Cloud Holiday Inn &amp; Suites
",15
8859,"Because I get to see this handsome little man in six days, and I can't wait. I love you,…
",15
24644,"Baymax! @ Epcot - Walt Disney World
",15
50296,"Always a great time with you @ Krause Springs
",15
32658,"Because I have a sister I will always have a best friend @ Port of…
",15
4314,"I like you a lottle derek_ryanw @ Tarleton State University
",15
62497,"Thanks to one of my bests for the dopeness seats for one of my fave bands! Amazing #concert …
",15
26948,"The perfect lunch spot for a rainy day @ Waterworks Food + Drink
",15
22606,"lots of last night azglobaldance @ Rawhide Western Town &amp; Event…
",15
30767,"One more week until I get to see my sisters again @ Sweet Home Chicago
",15
54176,"Ran into this beautiful stranger last night!!! @user #spokeasy #spoke #craftbeer…
",15
53210,"Aldo Reunion at emsyoo 's wedding #gabeandemsayido @ Westmount CountryClub
",15
29032,"Dad's day! @ Lake Michigan
",15
37851,"Family is everything So blessed Tim and I can spend the weekend…
",15
32527,"#sandjsayok @ The Kelsey Theater
",15
5248,"Your a 10 out of 10! I love you @ Delta Phi Epsilon Widener…
",15
28118,"365 amazing days together @ Love Avenue
",15
35310,"Happy belated 34th anniversary to these two! I love you both so much 8/21/82 - Forever @ I Nonni
",15
64383,"Precious moment @ Menifee, California
",15
38089,"happy 60th wedding anniversary to my incredible grandparents @user
",15
51025,"All you need is Chicago &amp; Macarons @ Navy Pier Chicago
",15
47528,"The mountains are calling @ Charlies Bunion
",15
13340,"Ft. Lauderdale Intracoastal Loving the warm sunny weather. #summervibes #florida #WPDPRO…
",15
33798,"Haven't had cheesecake in a thousand years @ The Cheesecake Factory
",15
36088,"p i n k @ Makeup by Blake Johnson
",15
35250,"#lunch for mom's birthday! #family #love #spring #Home @ My Mama's Kitchen Table
",15
6821,"Mimosas and roomies @ Fort Worth, Texas
",15
56280,"Yes, yes and yes. Yes to saying ""no."" * #standup #riseup #nongmo #organic #nongmoproject…
",15
44953,"choose people who choose you @ Buffalo, New York
",15
28360,"luv my familyy @ Sister Lakes, Michigan
",15
8917,"Brothers showing love and kindness @ Creative Mind Preschool
",15
46530,"My best friends feat. Linda's wine @ Houlihan's Princeton
",15
31408,"Not all heros wear capes... some wear cute stretchy pants and have nice booties! Love the LTO…
",15
30426,"My #1 fan @ Parkview Huntington YMCA
",15
61652,"Happy birthday to the biggest blessing in my life I love you so much babe and I’m glad I got to…
",15
20089,"#princessjordin @ InVinceAble Hair LTD
",15
625,"Love this sweet g lil' of mine #chiochella @ Downtown, Jonesboro
",15
53391,"Flicker is even more amazing live. Thanks for a great show, niallhoran @ The Fillmore…
",15
5354,"Just because emilykogle @ Max Patch Mountain
",15
65252,"Eilish and Connor Lane wedding 2017 @ Camp Wilkerson
",15
66553,"he said no, but she said yes! congratulations to the Vidal's …
",15
27154,"miss laughing over spilled shakes with my gal pal @user @ Shelby Charter Township,…
",15
28121,"Visiting with my absolute favorite person today, @user #beauty #facial…
",15
31592,"WE WILL BLESS THE LORD AT ALL TIME @ En el…
",15
15346,"My favorite color is pink @ Salt Lake City, Utah
",15
22223,"@user 'a Birthday morning ride!! Happy Birthday, babe! I love you!! @ Barracks, Virginia
",15
66825,"Valentine's Day is just around the corner and we have lots of great gifts! Shop in store or…
",15
55754,"Love my sisters more than anything @ San Diego, California
",15
33039,"Waited 4 years to see the @user live &amp; they did not disappoint #decembertoremember…
",15
67646,"Sorry for all the senior dinner pictures but @ Spirit Cruises…
",15
10000,"#wcw because I'm missing my God Squad girls today @ Seacoast Church, the Well Downtown…
",15
56797,"Fun Monday! Love is in the air @ Quiet Cannon Conference &amp; Event Center
",15
69780,"Glad I could spent my last weekend at home with my family and my best friend @ Huron, Ohio
",15
45588,"Before I knew they were going to be some of my favorite people in this world @ EKU Softball Field
",15
67127,"Kindness counts...a lot. # @ Clinton Hill, Brooklyn
",15
22772,"a lilll clip from our nye bash, we danced the night away @ Charlotte, North Carolina
",15
15064,"Sunday funday w bae #lbgrandprix #bobeau @ BO-beau kitchen + roof tap
",15
32220,"Deep in the Sea we found each other. @ Hollywood Chillbar
",15
